"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=500098b4-e1e3-4dc5-804b-14343a80774b",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=503321f0-e97c-4b22-8158-94a02906adec",1,0,450,453,453,453,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=503321f0-e97c-4b22-8158-94a02906adec",1,0,390,391,391,391,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=5144b01a-a96e-4f18-bcf2-881c8e249ecc",1,0,2600,2623,2623,2623,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=5144b01a-a96e-4f18-bcf2-881c8e249ecc",1,0,450,447,447,447,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=51962b05-93f4-4359-918b-1437d22c11dc",1,0,670,672,672,672,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=51962b05-93f4-4359-918b-1437d22c11dc",1,0,410,408,408,408,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=51983a7f-c54a-4928-9b72-808e30c38d9f",1,0,670,671,671,671,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=51983a7f-c54a-4928-9b72-808e30c38d9f",1,0,190,191,191,191,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=51cca16a-e91f-4daf-9d6f-50b8a8c2833c",1,0,320,317,317,317,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=51cca16a-e91f-4daf-9d6f-50b8a8c2833c",1,0,330,334,334,334,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=52486ac8-311c-4ed9-9822-20bd424487b2",1,0,2700,2717,2717,2717,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=52486ac8-311c-4ed9-9822-20bd424487b2",1,0,180,183,183,183,4701,0.02
